_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,Latitude2,Longitude2,distance,min(distance)
4612420,04:57.5,CA,AB,Edmonton,53.43941,-113.40575,POI1,53.546167,-113.485734,13.0135565,13.0135565
4612467,04:57.8,CA,NB,Moncton,46.1033,-64.815,POI4,45.22483,-63.232729,157.27705,157.27705
4612531,04:58.0,CA,NB,Moncton,46.1033,-64.815,POI4,45.22483,-63.232729,157.27705,157.27705
4612630,04:59.4,CA,ON,Etobicoke,43.69971,-79.53618,POI3,45.521629,-73.566024,515.17084,515.17084
4612684,05:01.2,CA,ON,York,43.6914,-79.431,POI3,45.521629,-73.566024,507.90924,507.90924
4612751,04:56.7,CA,NB,Oromocto,45.84991,-66.4795,POI4,45.22483,-63.232729,262.91574,262.91574
4612770,04:59.9,CA,AB,Calgary,51.0412,-114.0762,POI1,53.546167,-113.485734,281.6284,281.6284
4612778,05:00.7,CA,ON,Toronto,43.643,-79.3383,POI3,45.521629,-73.566024,503.5558,503.5558
4612838,05:00.8,CA,AB,Calgary,51.0242,-114.1004,POI1,53.546167,-113.485734,283.74057,283.74057
4612906,04:59.9,CA,AB,Edmonton,53.5605,-113.45912,POI1,53.546167,-113.485734,2.3782184,2.3782184
4612949,05:02.2,CA,AB,Calgary,51.053,-114.161,POI1,53.546167,-113.485734,281.21713,281.21713
4613022,05:03.1,CA,ON,Oakville,43.445,-79.763,POI3,45.521629,-73.566024,544.1157,544.1157
4613063,05:04.1,CA,ON,Newmarket,44.0587,-79.4591,POI3,45.521629,-73.566024,493.72424,493.72424
4613083,05:01.3,CA,QC,Ste.-Anne-De-Bellevue,45.3986,-73.8553,POI3,45.521629,-73.566024,26.436043,26.436043
4613171,05:01.8,CA,ON,Mississauga,43.6046,-79.6729,POI3,45.521629,-73.566024,529.6772,529.6772
4613194,05:03.4,CA,ON,Toronto,43.6606,-79.4635,POI3,45.521629,-73.566024,511.75684,511.75684
4613266,05:03.9,CA,ON,Newmarket,44.0587,-79.4591,POI3,45.521629,-73.566024,493.72424,493.72424
4613285,05:04.4,CA,QC,Montréal,45.4871,-73.5389,POI3,45.521629,-73.566024,4.384151,4.384151
4613289,05:05.3,CA,QC,Laval,45.6236,-73.6861,POI3,45.521629,-73.566024,14.706971,14.706971
4613298,05:03.9,CA,ON,Newmarket,44.039,-79.4724,POI3,45.521629,-73.566024,495.51474,495.51474
4613364,05:04.5,CA,AB,Calgary,51.0419,-114.2,POI1,53.546167,-113.485734,282.88208,282.88208
4613452,05:01.7,CA,AB,Calgary,51.03922,-113.97842,POI1,53.546167,-113.485734,280.97134,280.97134
4613533,05:01.3,CA,ON,York,43.6914,-79.431,POI3,45.521629,-73.566024,507.90924,507.90924
4613626,05:02.2,CA,NS,North Sydney,46.2086,-60.2603,POI4,45.22483,-63.232729,255.93394,255.93394
4613687,05:03.8,CA,ON,Kitchener,43.4381,-80.5099,POI3,45.521629,-73.566024,598.7253,598.7253
4613730,05:07.4,CA,ON,Toronto,43.66313,-79.37417,POI3,45.521629,-73.566024,505.158,505.158
4613807,05:09.5,CA,AB,Red Deer,52.2468,-113.788,POI1,53.546167,-113.485734,146.02258,146.02258
4613818,05:09.5,CA,AB,Calgary,50.9316,-114.096,POI1,53.546167,-113.485734,293.89627,293.89627
4613829,05:09.7,CA,AB,Calgary,51.0524,-114.038,POI1,53.546167,-113.485734,280.0324,280.0324
4613907,05:09.8,CA,ON,Kitchener,43.4453,-80.4905,POI3,45.521629,-73.566024,596.96375,596.96375
4614001,05:10.6,CA,ON,York,43.703,-79.512,POI3,45.521629,-73.566024,513.2519,513.2519
4614059,05:09.4,CA,AB,Red Deer,52.2468,-113.788,POI1,53.546167,-113.485734,146.02258,146.02258
4614121,05:09.5,CA,AB,Airdrie,51.3082,-114.0398,POI1,53.546167,-113.485734,251.86433,251.86433
4614208,05:09.6,CA,AB,Calgary,51.05341,-114.11848,POI1,53.546167,-113.485734,280.71188,280.71188
4614279,05:09.7,CA,AB,Calgary,51.1581,-113.938,POI1,53.546167,-113.485734,267.5091,267.5091
4614377,05:09.8,CA,ON,London,42.9334,-81.2258,POI3,45.521629,-73.566024,675.83234,675.83234
4614385,05:09.8,CA,QC,Longueuil,45.5189,-73.4613,POI3,45.521629,-73.566024,8.187708,8.187708
4614412,05:09.9,CA,ON,Kitchener,43.4453,-80.4905,POI3,45.521629,-73.566024,596.96375,596.96375
4614522,05:10.5,CA,ON,Mississauga,43.5869,-79.7559,POI3,45.521629,-73.566024,536.5672,536.5672
4614671,05:11.2,CA,ON,Scarborough,43.77653,-79.30999,POI3,45.521629,-73.566024,495.04944,495.04944
4614767,05:11.7,CA,AB,Calgary,51.0494,-113.9564,POI1,53.546167,-113.485734,279.67026,279.67026
4614783,05:09.7,CA,AB,Calgary,50.94553,-114.07608,POI1,53.546167,-113.485734,292.17075,292.17075
4614797,05:09.7,CA,AB,Airdrie,51.2889,-114.015,POI1,53.546167,-113.485734,253.74402,253.74402
4614817,05:09.8,CA,AB,Calgary,51.133,-113.856,POI1,53.546167,-113.485734,269.70438,269.70438
4614830,05:09.8,CA,QC,Outremont,45.51351,-73.59005,POI3,45.521629,-73.566024,2.0828564,2.0828564
4614849,05:10.1,CA,ON,Acton,43.6319,-80.0378,POI3,45.521629,-73.566024,555.0524,555.0524
4614940,05:09.5,CA,AB,Innisfail,52.31835,-113.81389,POI1,53.546167,-113.485734,138.40744,138.40744
4614987,05:12.4,CA,ON,Milton,43.515,-79.8821,POI3,45.521629,-73.566024,549.23267,549.23267
4615028,05:09.6,CA,ON,London,42.9835,-81.2386,POI3,45.521629,-73.566024,674.1808,674.1808
4615060,05:09.7,CA,AB,Okotoks,50.7258,-113.974,POI1,53.546167,-113.485734,315.59546,315.59546
4615097,05:10.0,CA,ON,Kitchener,43.4381,-80.5099,POI3,45.521629,-73.566024,598.7253,598.7253
4615196,05:10.1,CA,ON,Woodbridge,43.7923,-79.5524,POI3,45.521629,-73.566024,512.06476,512.06476
4615220,05:10.2,CA,ON,Toronto,43.6466,-79.4493,POI3,45.521629,-73.566024,511.40845,511.40845
